941.44	-194.76	-16645.04
943.0	-184.32	-16655.32
940.68	-165.48	-16641.6
948.84	-101.0	-16644.24
938.48	-63.96	-16645.8
858.88	-7.68	-16613.76
896.6	61.56	-16602.48
904.52	81.88	-16596.64
897.0	-7.44	-16630.96
919.08	11.6	-16616.56
929.48	21.0	-16627.36
925.04	11.76	-16603.92
950.44	20.8	-16629.16
965.36	17.92	-16612.24
1000.88	34.92	-16605.92
1014.24	50.52	-16634.88
1022.2	66.12	-16582.36
1033.56	98.76	-16606.84
1078.12	94.52	-16590.84
1104.44	107.76	-16585.44
1094.4	46.44	-16591.72
1149.4	71.44	-16598.64
1039.12	-36.96	-16621.76
1050.24	-45.64	-16624.68
1063.24	-63.12	-16616.12
1097.68	-93.4	-16648.84
1087.4	-110.16	-16624.28
1084.08	-127.68	-16621.16
1094.64	-143.4	-16637.16
1094.6	-149.52	-16645.0
1085.68	-179.36	-16638.2
1095.6	-186.44	-16645.4
1070.6	-190.72	-16632.28
1060.32	-215.32	-16630.48
1042.44	-232.4	-16633.04
1035.16	-257.76	-16638.0
924.68	-226.92	-16656.8
901.32	-216.0	-16639.28
878.28	-207.6	-16655.28
881.2	-192.52	-16646.2
885.32	-183.0	-16647.8
911.8	-204.64	-16655.68
898.68	-189.8	-16644.08
